experiment,roi,t_sec,amplitude_percent,amplitude_raw,prominence_percent,width_ms,rise_ms,decay_ms,snr,baseline,noise_sigma,gevi,file_path,auc
analysis_output,1,46.518678,10.734,0.107338,520.112,5.276,3.976,2.982,189.1453744493392,-0.00026,3.412842,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.05663258399999999
analysis_output,1,46.764177,8.139,0.081388,301.197,5.258,2.982,3.976,143.41850220264314,0.001087,3.316806,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.042794861999999996
analysis_output,1,46.868539,8.645,0.08645,451.744,5.774,2.982,2.982,152.3348017621145,0.000786,2.948035,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.04991623
analysis_output,1,46.971908,6.449,0.064492,322.19,5.813,3.976,2.982,113.63876651982376,0.000488,2.509244,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.037488037
analysis_output,1,47.180632,7.499,0.074986,589.15,5.89,2.982,3.976,132.14096916299556,-0.000114,2.848877,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.04416911
analysis_output,1,47.785932,7.939,0.079385,343.827,5.853,4.97,3.976,139.89427312775328,-0.000678,3.262767,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.046466967
analysis_output,1,47.992669,9.891,0.098908,390.24,4.542,2.982,2.982,174.29074889867837,-0.000551,3.28524,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.04492492199999999
analysis_output,1,48.021493,14.742,0.147421,285.718,5.179,3.976,2.982,259.7709251101321,-0.000533,3.102027,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.07634881800000001
analysis_output,1,48.744076,1.743,0.017429,445.019,5.712,2.982,2.982,30.713656387665196,0.002109,3.458165,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.009956016
analysis_output,1,49.118786,2.052,0.020519,354.242,5.594,3.976,2.982,36.15859030837004,-0.001347,2.865067,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.011478888000000001
