experiment,roi,t_sec,amplitude_percent,amplitude_raw,prominence_percent,width_ms,rise_ms,decay_ms,snr,baseline,noise_sigma,gevi,file_path,auc
analysis_output,1,53.796198,13.153,0.131533,295.695,4.613,3.976,2.982,197.04868913857678,-0.003196,4.890158,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.060674789000000014
analysis_output,1,53.896584,28.436,0.284362,471.444,5.372,2.982,2.982,426.0074906367041,-0.001146,5.311361,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.15275819200000001
analysis_output,1,54.084436,17.84,0.178403,348.262,5.513,0.0,3.976,267.26591760299624,0.002689,5.539474,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.09835192
analysis_output,1,55.144954,4.281,0.04281,360.112,5.704,3.976,3.976,64.13483146067415,0.000216,6.109819,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.024418824
analysis_output,1,55.162845,0.498,0.00498,298.449,5.059,0.0,2.982,7.46067415730337,0.000417,6.428665,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.002519382
analysis_output,1,55.682668,10.283,0.102831,328.388,5.264,4.97,3.976,154.05243445692884,-0.000412,5.996884,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.054129711999999996
analysis_output,1,55.755224,12.029,0.120292,592.83,5.79,2.982,1.988,180.20973782771534,-0.00058,6.360129,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.06964791
analysis_output,1,56.327725,27.909,0.279087,382.843,4.945,4.97,2.982,418.11235955056173,0.001418,5.834952,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.13801000500000002
analysis_output,1,56.402269,17.824,0.178236,457.749,5.064,3.976,1.988,267.0262172284644,0.000383,7.012566,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.09026073600000001
analysis_output,1,57.502544,28.436,0.296854,432.554,5.495,3.976,2.982,426.0074906367041,0.001948,5.390336,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.15625582
